"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.0129904577016301,0.21382601822644,0.380730400722792,0.713821310489836,1.7773521093962,17,"Idh2;Got1;Kyat3;Got2;Idh1;Ogdh;L2hgdh;Gpt2;Phyh;Dld;Adhfe1;Dlst"
"GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.731656184486373,0.862979089394184,0.0623861492893626,0.306460490607227,0.8055435049402,22,"Zfp36;Khnyn;Cpeb3;Pum1;Khsrp;Plekhn1;Zfp36l1;Hnrnpd;Zc3h12b"
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.947478991596639,0.978879966119562,0.0503964322442957,0.228173322006121,0.60603127266331,23,"Mapkapk2;Qki;Zfp36;Larp4b;Rbm10;Tent4a;Ybx3;Arid5a"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.00883543963589466,0.181126512535841,0.380730400722792,0.712407493986489,1.89216345030875,23,"Acss1;Acss2;Acly;Dip2a;Pdhb;Mpc2;Mlycd;Pdk2;Acat1;Pdha1;Dld;Dlat"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.00817558752661761,0.177231702013802,0.380730400722792,0.726663061379289,2.14427521344384,39,"Acss1;Acaca;Acss2;Aass;Acacb;Gcdh;Acly;Dip2a;Nudt7;Pdhb;Mpc2;Mlycd;Pdk2;Fasn;Acat1;Pdha1;Dld;Mvd;Dlst;Dlat"
"GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.0627502916284077,0.3328459056071,0.287805130535564,0.47997558700211,1.5374762242433,65,"Slc17a7;Ttyh1;Kcnk1;Slc25a13;Slc12a2;Nf1;Grm1;Rab3gap1;Slc38a2;Vps54;Slc25a12;Slc25a22;Dtnbp1;Gipc1;Atp1a2"
"GOBP_ACID_SECRETION",0.455882352941176,0.70508394783733,0.086794975677172,0.375571314164693,0.997522232213259,23,"Cacnb4;Nf1;Slc9a4"
"GOBP_ACROSOME_ASSEMBLY",0.462962962962963,0.707342585056599,0.0847985102819124,0.363452675352536,0.999257197444507,26,"Pln;Vps13b;Acrbp;Tbc1d20;Slc9a8;Cep78"
"GOBP_ACROSOME_REACTION",0.867307692307692,0.937516346381378,0.0503964322442957,-0.26616056394767,-0.706360126828433,24,"Plcd4"
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.0699152542372881,0.335365543870345,0.248911114434702,0.36114676807934,1.29000839915728,131,"Casq2;Pde4d;Tnnc1;Myh6;Akap9;Scn3b;Kcnj2;Myh7;Stc1;Kcnn2;Myh2;Kcne4;Pln;Ttn;Trpm4;Qki;Myh8;Rangrf;Nedd4l;Atp1a2;Epb41l5;Pde4b;Acta2;Hcn4;Scn8a;Myh10;Atp2a2;Snta1;Myo19;Flna;Kcnj8;Myl6b"
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.605263157894737,0.797052129054138,0.0662842187012672,-0.25739453216469,-0.932141535166738,163,"Aif1l;Itgb5;Arhgap28;Fhod1;Tmeff2;Pfn1;Tgfb3;Evl;Arrb1;Lpar1;Marcks;Lcp1;Asap3;Sfrp1;Frmd7;Rab40b;Cdc42;Dpysl3;Itgb1;Tesk1;Cfl1;Pfn2;Arhgef10l;Tpm1;Alms1;Src;Arhgef10;Synpo2;Cx3cl1;Arhgef5"
"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",0.163440860215054,0.454469291744538,0.159646701919906,0.39278090289617,1.23370580764349,57,"Avil;Sema5a;Actn2;Twf2;Mical3;Cracd;Sptan1;Mical1;Specc1l"
